Serial 	FileName 	SBD 	MaDe 	BaiLam
43	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\002_24.jpg	00012190	0003	BADADCDCBBCB____________________________          
44	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\002_3.jpg	00012305	0001	DDBCACCBDDBB____________________________          
45	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\002_4.jpg	00012340	0003	BADADCDCBBCB____________________________          
46	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\002_5.jpg	00012360	0003	BADADCDCBBCB____________________________          
47	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\002_6.jpg	00012386	0004	BCAABBDBCDBD____________________________          
48	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\002_7.jpg	00012413	0004	BCAABCDBCDBD____________________________          
49	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\002_8.jpg	00012443	0004	BCAABCDBCDBD____________________________          
50	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\002_9.jpg	00012470	0004	BCAABBDBCDBD____________________________          
51	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003.jpg	00012222	0004	BCAABBDBCDBD____________________________          
52	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_1.jpg	00012248	0003	BADADCDCBBCB____________________________          
53	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_10.jpg	00012003	0004	BCAABBDBCDBD____________________________          
54	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_11.jpg	00012497	0001	DDDCACCBDDBA____________________________          
55	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_12.jpg	00012524	0004	BCAABBDBCDBD____________________________          
56	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_13.jpg	00012571	0001	DDBBACCBDDBB____________________________          
57	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_14.jpg	00012587	0001	DDBCACCBDDBB____________________________          
58	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_15.jpg	00012618	0003	BADADCDCBBCB____________________________          
59	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_16.jpg	00012639	0001	DCBCADCBDABB____________________________          
60	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_17.jpg	00012678	0003	BADADCDCBBCB____________________________          
61	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_18.jpg	00012034	0001	DDBCACCBDDBB____________________________          
62	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_19.jpg	00012069	0003	BADADCDCBBCB____________________________          
63	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_2.jpg	00012279	0002	DDBBBBACADAC____________________________          
64	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_20.jpg	00012093	0001	DDBCCDCBDDBB____________________________          
65	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_21.jpg	00012109	0001	DDBCACCBDDBB____________________________          
66	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_22.jpg	00012139	0002	DDBBBBACADAC____________________________          
67	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_23.jpg	00012165	0002	DDBBBBACADAC____________________________          
68	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_24.jpg	00012192	0002	DBBBBBACDDAC____________________________          
69	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_3.jpg	00012306	0004	BCAABBDBCDBD____________________________          
70	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_4.jpg	00012350	0001	DDBCADCBDDBB____________________________          
71	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_5.jpg	00012361	0002	DDBBBBACADAC____________________________          
72	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_6.jpg	00012387	0001	DDBCACCBDDBB____________________________          
73	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_7.jpg	00012414	0003	BADADCDCBBCB____________________________          
74	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_8.jpg	00012444	0003	BADADCDCBBCB____________________________          
75	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\003_9.jpg	00012471	0001	DDBCACCBDDBB____________________________          
76	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004.jpg	00012223	0001	DDBCACCBDDBB____________________________          
77	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_1.jpg	00012258	0001	DDBCACCBDDBB____________________________          
78	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_10.jpg	00012004	0003	AADADCDCBBCB____________________________          
